Currency,year,value
French franc,2017,
Dutch guilder,2017,
Japanese yen,2017,4.89686400967505
Swiss franc,2017,0.175814569395684
Australian dollar,2017,1.80265586016772
Chinese yuan renminbi,2017,1.2331697156029
ECU,2017,
Deutsche mark,2017,
Canadian dollar,2017,2.02540852118299
Euro,2018,20.6743615961365
Other currencies,2018,2.44861792705893
US dollar,2018,61.7614647517059
Pound sterling,2018,4.42724129463188
French franc,2018,
Dutch guilder,2018,
Japanese yen,2018,5.19200110102902
Swiss franc,2018,0.137815387709853
Australian dollar,2018,1.6265096594859
Chinese yuan renminbi,2018,1.89335097522643
ECU,2018,
Deutsche mark,2018,
Canadian dollar,2018,1.83863730701558
Euro,2019,20.5884469103274
Other currencies,2019,2.5127316619722
US dollar,2019,60.7477164839534
Pound sterling,2019,4.63818084321752
French franc,2019,
Dutch guilder,2019,
Japanese yen,2019,5.86876357975545
Swiss franc,2019,0.149612320178879
Australian dollar,2019,1.69697769929088
Chinese yuan renminbi,2019,1.93704536577686
ECU,2019,
Deutsche mark,2019,
Canadian dollar,2019,1.86052513552742
Euro,2020,21.294045149673
Other currencies,2020,2.65190206736467
US dollar,2020,58.9228776054494
Pound sterling,2020,4.73169615358127
French franc,2020,
Dutch guilder,2020,
Japanese yen,2020,6.02935429199307
Swiss franc,2020,0.174794548005409
Australian dollar,2020,1.8279086094865
Chinese yuan renminbi,2020,2.28921332250383
ECU,2020,
Deutsche mark,2020,
Canadian dollar,2020,2.07820825194292
Euro,2021,20.592717307286
Other currencies,2021,3.091139735054
US dollar,2021,58.7986620819862
Pound sterling,2021,4.80830659180024
French franc,2021,
Dutch guilder,2021,
Japanese yen,2021,5.51970975953975
Swiss franc,2021,0.17252650153045
Australian dollar,2021,1.8367505352766
Chinese yuan renminbi,2021,2.79892944643511
ECU,2021,
Deutsche mark,2021,
Canadian dollar,2021,2.38125804109163
Euro,2022,20.3712748453264
Other currencies,2022,3.47592669717017
US dollar,2022,58.5163257738241
Pound sterling,2022,4.89959234943019
French franc,2022,
Dutch guilder,2022,
Japanese yen,2022,5.54193798608772
Swiss franc,2022,0.228349210023976
Australian dollar,2022,1.96632974071829
Chinese yuan renminbi,2022,2.61249885576247
ECU,2022,
Deutsche mark,2022,
Canadian dollar,2022,2.38776454165672
Euro,2023,19.9452649915649
Other currencies,2023,3.86722180147418
US dollar,2023,58.4171035208567
Pound sterling,2023,4.86449645381716
French franc,2023,
Dutch guilder,2023,
Japanese yen,2023,5.6899909445999
Swiss franc,2023,0.194409846899291
Australian dollar,2023,2.14381202085934
Chinese yuan renminbi,2023,2.28915864272919
ECU,2023,
Deutsche mark,2023,
Canadian dollar,2023,2.58854177719932
Euro,2024,19.8387162164577
Other currencies,2024,4.64941837669008
