sect_name,t,source,region,sect_group,gvc,traditional,traditional_jpn.x,traditional_jpn.y
12-Electrical and Optical Equipment,1970,wiodlr,PRT,Manufacturing,1.02088868606613,0.531534021577077,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,SWE,Manufacturing,0.962643945367638,0.950864542510893,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,TWN,Manufacturing,3.93099097303423,1.38025030085352,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,USA,Manufacturing,0.884032973173401,1.16653303602684,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1990,wiodlr,AUS,Manufacturing,0.115461064022597,0.0942359992878476,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,AUT,Manufacturing,0.860590429234551,0.946963259250088,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,BEL,Manufacturing,0.345930639393511,0.347443429328913,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,BRA,Manufacturing,0.256122388391172,0.209851668808171,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,CAN,Manufacturing,0.624673640121294,0.370417356426382,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,CHN,Manufacturing,0.918622073375941,0.880329509441891,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,DEU,Manufacturing,0.815537535193725,0.990853432452504,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,DNK,Manufacturing,0.607629169455791,0.543462575821495,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,ESP,Manufacturing,0.488390808413115,0.400775446125396,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,FIN,Manufacturing,0.46470080606613,0.597406389035161,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,FRA,Manufacturing,0.660166982620544,0.615886494623707,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,GBR,Manufacturing,0.928871403097278,0.964809862430558,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,GRC,Manufacturing,0,0,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,HKG,Manufacturing,2.17292647788035,0.859182360953049,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,IND,Manufacturing,0.179612903220882,0.115933974253588,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,IRL,Manufacturing,2.0315627792298,1.32132763270236,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,ITA,Manufacturing,0.710783137717221,0.639872863924625,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,JPN,Manufacturing,2.17174372200261,2.2981012749452,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,KOR,Manufacturing,1.84550659328214,1.47978585784688,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,MEX,Manufacturing,2.18397083846712,1.351698085208,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,NLD,Manufacturing,0.806552295359364,0.64567546415252,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,PRT,Manufacturing,0.813047827273953,0.422691169558605,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,SWE,Manufacturing,0.73432442961668,0.747906886518392,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,TWN,Manufacturing,2.34492961121836,1.66934644207854,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,1990,wiodlr,USA,Manufacturing,1.23816485737591,1.12259072958995,2.2981012749452,2.2981012749452
12-Electrical and Optical Equipment,2000,wiodlr,AUS,Manufacturing,0.1185082258563,0.156404990475641,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,AUT,Manufacturing,0.552721912026593,0.583218001406733,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,BEL,Manufacturing,0.279990040445346,0.36145041901263,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,BRA,Manufacturing,0.219930976249067,0.205870956760113,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,CAN,Manufacturing,0.546065742733674,0.429307435724688,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,CHN,Manufacturing,1.64729194561891,1.46102679072244,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,DEU,Manufacturing,0.645035001187379,0.842313351597395,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,DNK,Manufacturing,0.528690710223042,0.580202952016707,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,ESP,Manufacturing,0.363684537336823,0.326864155678031,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,FIN,Manufacturing,0.8490626251552,1.37192837366816,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,FRA,Manufacturing,0.607088051417805,0.619441007835536,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,GBR,Manufacturing,0.871525190188758,0.847312403270994,1.84003197264237,1.84003197264237
